time_s,operator_stop_request
0,3
0.005,3
0.01,3
0.015,3
0.02,3
0.025,3
0.03,3
0.035,3
0.04,3
0.045,3
0.05,3
0.055,3
0.06,3
0.065,3
0.07,3
0.075,3
0.08,3
0.085,3
0.09,3
0.095,3
0.1,3
0.105,3
0.11,3
0.115,3
0.12,3
0.125,3
0.13,3
0.135,3
0.14,3
0.145,3
0.15,3
0.155,3
0.16,3
0.165,3
0.17,3
0.175,3
0.18,3
0.185,3
0.19,3
0.195,3
0.2,3
0.205,3
0.21,3
0.215,3
0.22,3
0.225,3
0.23,3
0.235,3
0.24,3
0.245,3
0.25,3
0.255,3
0.26,3
0.265,3
0.27,3
0.275,3
0.28,3
0.285,3
0.29,3
0.295,3
0.3,3
0.305,3
0.31,3
0.315,3
0.32,3
0.325,3
0.33,3
0.335,3
0.34,3
0.345,3
0.35,3
0.355,3
0.36,3
0.365,3
0.37,3
0.375,3
0.38,3
0.385,3
0.39,3
0.395,3
0.4,3
0.405,3
0.41,3
0.415,3
0.42,3
0.425,3
0.43,3
0.435,3
0.44,3
0.445,3
0.45,3
0.455,3
0.46,3
0.465,3
0.47,3
0.475,3
0.48,3
0.485,3
0.49,3
0.495,3
0.5,3
0.505,3
0.51,3
0.515,3
0.52,3
0.525,3
0.53,3
0.535,3
0.54,3
0.545,3
0.55,3
0.555,3
0.56,3
0.565,3
0.57,3
0.575,3
0.58,3
0.585,3
0.59,3
0.595,3
0.6,3
0.605,3
0.61,3
0.615,3
0.62,3
0.625,3
0.63,3
0.635,3
0.64,3
0.645,3
0.65,3
0.655,3
0.66,3
0.665,3
0.67,3
0.675,3
0.68,3
0.685,3
0.69,3
0.695,3
0.7,3
0.705,3
0.71,3
0.715,3
0.72,3
0.725,3
0.73,3
0.735,3
0.74,3
0.745,3
0.75,3
0.755,3
0.76,3
0.765,3
0.77,3
0.775,3
0.78,3
0.785,3
0.79,3
0.795,3
0.8,3
0.805,3
0.81,3
0.815,3
0.82,3
0.825,3
0.83,3
0.835,3
0.84,3
0.845,3
0.85,3
0.855,3
0.86,3
0.865,3
0.87,3
0.875,3
0.88,3
0.885,3
0.89,3
0.895,3
0.9,3
0.905,3
0.91,3
0.915,3
0.92,3
0.925,3
0.93,3
0.935,3
0.94,3
0.945,3
0.95,3
0.955,3
0.96,3
0.965,3
0.97,3
0.975,3
0.98,3
0.985,3
0.99,3
0.995,3
1,3
1.005,3
1.01,3
1.015,3
1.02,3
1.025,3
1.03,3
1.035,3
1.04,3
1.045,3
1.05,3
1.055,3
1.06,3
1.065,3
1.07,3
1.075,3
1.08,3
1.085,3
1.09,3
1.095,3
1.1,3
1.105,3
1.11,3
1.115,3
1.12,3
1.125,3
1.13,3
1.135,3
1.14,3
1.145,3
1.15,3
1.155,3
1.16,3
1.165,3
1.17,3
1.175,3
1.18,3
1.185,3
1.19,3
1.195,3
1.2,3
1.205,3
1.21,3
1.215,3
1.22,3
1.225,3
1.23,3
1.235,3
1.24,3
1.245,3
1.25,3
1.255,3
1.26,3
1.265,3
1.27,3
1.275,3
1.28,3
1.285,3
1.29,3
1.295,3
1.3,3
1.305,3
1.31,3
1.315,3
1.32,3
1.325,3
1.33,3
1.335,3
1.34,3
1.345,3
1.35,3
1.355,3
1.36,3
1.365,3
1.37,3
1.375,3
1.38,3
1.385,3
1.39,3
1.395,3
1.4,3
1.405,3
1.41,3
1.415,3
1.42,3
1.425,3
1.43,3
1.435,3
1.44,3
1.445,3
1.45,3
1.455,3
1.46,3
1.465,3
1.47,3
1.475,3
1.48,3
1.485,3
1.49,3
1.495,3
1.5,3
1.505,3
1.51,3
1.515,3
1.52,3
1.525,3
1.53,3
1.535,3
1.54,3
1.545,3
1.55,3
1.555,3
1.56,3
1.565,3
1.57,3
1.575,3
1.58,3
1.585,3
1.59,3
1.595,3
1.6,3
1.605,3
1.61,3
1.615,3
1.62,3
1.625,3
1.63,3
1.635,3
1.64,3
1.645,3
1.65,3
1.655,3
1.66,3
1.665,3
1.67,3
1.675,3
1.68,3
1.685,3
1.69,3
1.695,3
1.7,3
1.705,3
1.71,3
1.715,3
1.72,3
1.725,3
1.73,3
1.735,3
1.74,3
1.745,3
1.75,3
1.755,3
1.76,3
1.765,3
1.77,3
1.775,3
1.78,3
1.785,3
1.79,3
1.795,3
1.8,3
1.805,3
1.81,3
1.815,3
1.82,3
1.825,3
1.83,3
1.835,3
1.84,3
1.845,3
1.85,3
1.855,3
1.86,3
1.865,3
1.87,3
1.875,3
1.88,3
1.885,3
1.89,3
1.895,3
1.9,3
1.905,3
1.91,3
1.915,3
1.92,3
1.925,3
1.93,3
1.935,3
1.94,3
1.945,3
1.95,3
1.955,3
1.96,3
1.965,3
1.97,3
1.975,3
1.98,3
1.985,3
1.99,3
1.995,3
2,3
2.005,3
2.01,3
2.015,3
2.02,3
2.025,3
2.03,3
2.035,3
2.04,3
2.045,3
2.05,2
2.055,2
2.06,2
2.065,2
2.07,2
2.075,2
2.08,2
2.085,2
2.09,2
2.095,2
2.1,2
2.105,2
2.11,2
2.115,2
2.12,2
2.125,2
2.13,2
2.135,2
2.14,2
2.145,2
2.15,2
2.155,2
2.16,2
2.165,2
2.17,2
2.175,2
2.18,2
2.185,2
2.19,2
2.195,2
2.2,2
2.205,2
2.21,2
2.215,2
2.22,2
2.225,2
2.23,2
2.235,2
2.24,2
2.245,2
2.25,2
2.255,2
2.26,2
2.265,2
