time_s,candidate_sources_mask
0,16
0.005,16
0.01,16
0.015,16
0.02,16
0.025,16
0.03,16
0.035,16
0.04,16
0.045,16
0.05,16
0.055,16
0.06,16
0.065,16
0.07,16
0.075,16
0.08,16
0.085,16
0.09,16
0.095,16
0.1,16
0.105,16
0.11,16
0.115,16
0.12,16
0.125,16
0.13,16
0.135,16
0.14,16
0.145,16
0.15,16
0.155,16
0.16,16
0.165,16
0.17,16
0.175,16
0.18,16
0.185,16
0.19,16
0.195,16
0.2,16
0.205,16
0.21,16
0.215,16
0.22,16
0.225,16
0.23,16
0.235,16
0.24,16
0.245,16
0.25,16
0.255,16
0.26,16
0.265,16
0.27,16
0.275,16
0.28,16
0.285,16
0.29,16
0.295,16
0.3,16
0.305,16
0.31,16
0.315,16
0.32,16
0.325,16
0.33,16
0.335,16
0.34,16
0.345,16
0.35,16
0.355,16
0.36,16
0.365,16
0.37,16
0.375,16
0.38,16
0.385,16
0.39,16
0.395,16
0.4,16
0.405,16
0.41,16
0.415,16
0.42,16
0.425,16
0.43,16
0.435,16
0.44,16
0.445,16
0.45,16
0.455,16
0.46,16
0.465,16
0.47,16
0.475,16
0.48,16
0.485,16
0.49,16
0.495,16
0.5,16
0.505,16
0.51,16
0.515,16
0.52,16
0.525,16
0.53,16
0.535,16
0.54,16
0.545,16
0.55,16
0.555,16
0.56,16
0.565,16
0.57,16
0.575,16
0.58,16
0.585,16
0.59,16
0.595,16
0.6,16
0.605,16
0.61,16
0.615,16
0.62,16
0.625,16
0.63,16
0.635,16
0.64,16
0.645,16
0.65,16
0.655,16
0.66,16
0.665,16
0.67,16
0.675,16
0.68,16
0.685,16
0.69,16
0.695,16
0.7,16
0.705,16
0.71,16
0.715,16
0.72,16
0.725,16
0.73,16
0.735,16
0.74,16
0.745,16
0.75,16
0.755,16
0.76,16
0.765,16
0.77,16
0.775,16
0.78,16
0.785,16
0.79,16
0.795,16
0.8,16
0.805,16
0.81,16
0.815,16
0.82,16
0.825,16
0.83,16
0.835,16
0.84,16
0.845,16
0.85,16
0.855,16
0.86,16
0.865,16
0.87,16
0.875,16
0.88,16
0.885,16
0.89,16
0.895,16
0.9,16
0.905,16
0.91,16
0.915,16
0.92,16
0.925,16
0.93,16
0.935,16
0.94,16
0.945,16
0.95,16
0.955,16
0.96,16
0.965,16
0.97,16
0.975,16
0.98,16
0.985,16
0.99,16
0.995,16
1,16
1.005,16
1.01,16
1.015,16
1.02,16
1.025,16
1.03,16
1.035,16
1.04,16
1.045,16
1.05,16
1.055,16
1.06,16
1.065,16
1.07,16
1.075,16
1.08,16
1.085,16
1.09,16
1.095,16
1.1,16
1.105,16
1.11,16
1.115,16
1.12,16
1.125,16
1.13,16
1.135,16
1.14,16
1.145,16
1.15,16
1.155,16
1.16,16
1.165,16
1.17,16
1.175,16
1.18,16
1.185,16
1.19,16
1.195,16
1.2,16
1.205,16
1.21,16
1.215,16
1.22,16
1.225,16
1.23,16
1.235,16
1.24,16
1.245,16
1.25,16
1.255,16
1.26,16
1.265,16
1.27,16
1.275,16
1.28,16
1.285,16
1.29,16
1.295,16
1.3,16
1.305,16
1.31,16
1.315,16
1.32,16
1.325,16
1.33,16
1.335,16
1.34,16
1.345,16
1.35,16
1.355,16
1.36,16
1.365,16
1.37,16
1.375,16
1.38,16
1.385,16
1.39,16
1.395,16
1.4,16
1.405,16
1.41,16
1.415,16
1.42,16
1.425,16
1.43,16
1.435,16
1.44,16
1.445,16
1.45,16
1.455,16
1.46,16
1.465,16
1.47,16
1.475,16
1.48,16
1.485,16
1.49,16
1.495,16
1.5,16
1.505,16
1.51,16
1.515,16
1.52,16
1.525,16
1.53,16
1.535,16
1.54,16
1.545,16
1.55,16
1.555,16
1.56,16
1.565,16
1.57,16
1.575,16
1.58,16
1.585,16
1.59,16
1.595,16
1.6,16
1.605,16
1.61,16
1.615,16
1.62,16
1.625,16
1.63,16
1.635,16
1.64,16
1.645,16
1.65,16
1.655,16
1.66,16
1.665,16
1.67,16
1.675,16
1.68,16
1.685,16
1.69,16
1.695,16
1.7,16
1.705,16
1.71,16
1.715,16
1.72,16
1.725,16
1.73,16
1.735,16
1.74,16
1.745,16
1.75,16
1.755,16
1.76,16
1.765,16
1.77,16
1.775,16
1.78,16
1.785,16
1.79,16
1.795,16
1.8,16
1.805,16
1.81,16
1.815,16
1.82,16
1.825,16
1.83,16
1.835,16
1.84,16
1.845,16
1.85,16
1.855,16
1.86,16
1.865,16
1.87,16
1.875,16
1.88,16
1.885,16
1.89,16
1.895,16
1.9,16
1.905,16
1.91,16
1.915,16
1.92,16
1.925,16
1.93,16
1.935,16
1.94,16
1.945,16
1.95,16
1.955,16
1.96,16
1.965,16
1.97,16
1.975,16
1.98,16
1.985,16
1.99,16
1.995,16
2,16
2.005,16
2.01,16
2.015,16
2.02,16
2.025,16
2.03,16
2.035,16
2.04,16
2.045,16
2.05,19
2.055,19
2.06,19
2.065,19
2.07,19
2.075,19
2.08,19
2.085,19
2.09,19
2.095,19
2.1,19
2.105,19
2.11,19
2.115,19
2.12,19
2.125,19
2.13,19
2.135,19
2.14,19
2.145,19
2.15,19
2.155,19
2.16,19
2.165,19
2.17,19
2.175,19
2.18,19
2.185,19
2.19,19
2.195,19
2.2,19
2.205,19
2.21,19
2.215,19
2.22,19
2.225,19
2.23,19
2.235,19
2.24,19
2.245,19
2.25,19
2.255,19
2.26,19
2.265,19
2.27,19
2.275,19
2.28,19
2.285,19
2.29,19
2.295,19
2.3,19
2.305,19
2.31,19
2.315,19
2.32,19
2.325,19
2.33,19
2.335,19
2.34,19
2.345,19
2.35,19
2.355,19
2.36,19
2.365,19
2.37,19
2.375,19
2.38,19
2.385,19
2.39,19
2.395,19
2.4,19
2.405,19
2.41,19
2.415,19
2.42,19
2.425,19
2.43,19
2.435,19
2.44,19
2.445,19
2.45,19
2.455,19
2.46,19
2.465,19
2.47,19
2.475,19
2.48,19
2.485,19
2.49,19
2.495,19
2.5,19
2.505,19
2.51,19
2.515,19
2.52,19
2.525,19
2.53,19
2.535,19
2.54,19
2.545,19
2.55,19
2.555,19
2.56,19
2.565,19
2.57,19
2.575,19
2.58,19
2.585,19
2.59,19
2.595,19
2.6,19
2.605,19
2.61,19
2.615,19
2.62,19
2.625,19
2.63,19
2.635,19
2.64,19
2.645,19
2.65,19
2.655,19
2.66,19
2.665,19
2.67,19
2.675,19
2.68,19
2.685,19
2.69,19
2.695,19
2.7,19
2.705,19
2.71,19
2.715,19
2.72,19
2.725,19
2.73,19
2.735,19
2.74,19
2.745,16
2.75,16
2.755,16
2.76,16
2.765,16
2.77,16
2.775,16
2.78,16
2.785,16
2.79,16
2.795,16
2.8,16
2.805,16
2.81,16
2.815,16
2.82,16
2.825,16
2.83,16
2.835,16
2.84,16
2.845,16
2.85,16
2.855,16
2.86,16
2.865,16
2.87,16
2.875,16
2.88,16
2.885,16
2.89,16
2.895,16
2.9,16
2.905,16
2.91,16
2.915,16
2.92,16
2.925,16
2.93,16
2.935,16
2.94,16
2.945,16
2.95,16
2.955,16
2.96,16
2.965,16
2.97,16
2.975,16
2.98,16
2.985,16
2.99,16
2.995,16
3,16
3.005,16
3.01,16
3.015,16
3.02,16
3.025,16
3.03,16
3.035,16
3.04,16
3.045,16
3.05,19
3.055,19
3.06,19
3.065,19
3.07,19
3.075,19
3.08,19
3.085,19
3.09,19
3.095,19
3.1,19
3.105,19
3.11,19
3.115,19
3.12,19
3.125,19
3.13,19
3.135,19
3.14,19
3.145,19
3.15,19
3.155,19
3.16,19
3.165,19
3.17,19
3.175,19
3.18,19
3.185,19
3.19,19
3.195,19
3.2,19
3.205,19
3.21,19
3.215,19
3.22,19
3.225,19
3.23,19
3.235,19
3.24,19
3.245,19
3.25,19
3.255,19
3.26,19
3.265,19
3.27,19
3.275,19
3.28,19
3.285,19
3.29,19
