time_s,Mux1_1_ch1,Mux1_1_ch2,Mux1_1_ch3,Mux1_1_ch4,Mux1_1_ch5,Mux1_1_ch6
0.495,0,0,0,0,0,0
0.5,0,0,0,0,0,0
0.505,0,0,0,0,0,0
0.51,0,0,0,0,0,0
0.515,0,0,0,0,0,0
0.52,0,0,0,0,0,0
0.525,0,0,0,0,0,0
0.53,0,0,0,0,0,0
0.535,0,0,0,0,0,0
0.54,0,0,0,0,0,0
0.545,0,0,0,0,0,0
0.55,0,0,0,0,0,0
0.555,0,0,0,0,0,0
0.56,0,0,0,0,0,0
0.565,0,0,0,0,0,0
0.57,0,0,0,0,0,0
0.575,0,0,0,0,0,0
0.58,0,0,0,0,0,0
0.585,0,0,0,0,0,0
0.59,0,0,0,0,0,0
0.595,0,0,0,0,0,0
0.6,0,0,0,0,0,0
0.605,0,0,0,0,0,0
0.61,0,0,0,0,0,0
0.615,0,0,0,0,0,0
0.62,0,0,0,0,0,0
0.625,0,0,0,0,0,0
0.63,0,0,0,0,0,0
0.635,0,0,0,0,0,0
0.64,0,0,0,0,0,0
0.645,0,0,0,0,0,0
0.65,0,0,0,0,0,0
0.655,0,0,0,0,0,0
0.66,0,0,0,0,0,0
0.665,0,0,0,0,0,0
0.67,0,0,0,0,0,0
0.675,0,0,0,0,0,0
0.68,0,0,0,0,0,0
0.685,0,0,0,0,0,0
0.69,0,0,0,0,0,0
0.695,0,0,0,0,0,0
0.7,0,0,0,0,0,0
0.705,0,0,0,0,0,0
0.71,0,0,0,0,0,0
0.715,0,0,0,0,0,0
0.72,0,0,0,0,0,0
0.725,0,0,0,0,0,0
0.73,0,0,0,0,0,0
0.735,0,0,0,0,0,0
0.74,0,0,0,0,0,0
0.745,0,0,0,0,0,0
0.75,0,0,0,0,0,0
0.755,0,0,0,0,0,0
0.76,0,0,0,0,0,0
0.765,0,0,0,0,0,0
0.77,0,0,0,0,0,0
0.775,0,0,0,0,0,0
0.78,0,0,0,0,0,0
0.785,0,0,0,0,0,0
0.79,0,0,0,0,0,0
0.795,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.805,0,0,0,0,0,0
0.81,0,0,0,0,0,0
0.815,0,0,0,0,0,0
0.82,0,0,0,0,0,0
0.825,0,0,0,0,0,0
0.83,0,0,0,0,0,0
0.835,0,0,0,0,0,0
0.84,0,0,0,0,0,0
0.845,0,0,0,0,0,0
0.85,0,0,0,0,0,0
0.855,0,0,0,0,0,0
0.86,0,0,0,0,0,0
0.865,0,0,0,0,0,0
0.87,0,0,0,0,0,0
0.875,0,0,0,0,0,0
0.88,0,0,0,0,0,0
0.885,0,0,0,0,0,0
0.89,0,0,0,0,0,0
0.895,0,0,0,0,0,0
0.9,0,0,0,0,0,0
0.905,0,0,0,0,0,0
0.91,0,0,0,0,0,0
0.915,0,0,0,0,0,0
0.92,0,0,0,0,0,0
0.925,0,0,0,0,0,0
0.93,0,0,0,0,0,0
0.935,0,0,0,0,0,0
0.94,0,0,0,0,0,0
0.945,0,0,0,0,0,0
0.95,0,0,0,0,0,0
0.955,0,0,0,0,0,0
0.96,0,0,0,0,0,0
0.965,0,0,0,0,0,0
0.97,0,0,0,0,0,0
0.975,0,0,0,0,0,0
0.98,0,0,0,0,0,0
0.985,0,0,0,0,0,0
0.99,0,0,0,0,0,0
0.995,0,0,0,0,0,0
1,0,0,0,0,0,0
1.005,0,0,0,0,0,0
1.01,0,0,0,0,0,0
1.015,0,0,0,0,0,0
1.02,0,0,0,0,0,0
1.025,0,0,0,0,0,0
1.03,0,0,0,0,0,0
1.035,0,0,0,0,0,0
1.04,0,0,0,0,0,0
1.045,0,0,0,0,0,0
1.05,0,0,0,0,0,0
1.055,0,0,0,0,0,0
1.06,0,0,0,0,0,0
1.065,0,0,0,0,0,0
1.07,0,0,0,0,0,0
1.075,0,0,0,0,0,0
1.08,0,0,0,0,0,0
1.085,0,0,0,0,0,0
1.09,0,0,0,0,0,0
1.095,0,0,0,0,0,0
1.1,0,0,0,0,0,0
1.105,0,0,0,0,0,0
1.11,0,0,0,0,0,0
1.115,0,0,0,0,0,0
1.12,0,0,0,0,0,0
1.125,0,0,0,0,0,0
1.13,0,0,0,0,0,0
1.135,0,0,0,0,0,0
1.14,0,0,0,0,0,0
1.145,0,0,0,0,0,0
1.15,0,0,0,0,0,0
1.155,0,0,0,0,0,0
1.16,0,0,0,0,0,0
1.165,0,0,0,0,0,0
1.17,0,0,0,0,0,0
1.175,0,0,0,0,0,0
1.18,0,0,0,0,0,0
1.185,0,0,0,0,0,0
1.19,0,0,0,0,0,0
1.195,0,0,0,0,0,0
1.2,0,0,0,0,0,0
1.205,0,0,0,0,0,0
1.21,0,0,0,0,0,0
1.215,0,0,0,0,0,0
1.22,0,0,0,0,0,0
1.225,0,0,0,0,0,0
1.23,0,0,0,0,0,0
1.235,0,0,0,0,0,0
1.24,0,0,0,0,0,0
1.245,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.255,0,0,0,0,0,0
1.26,0,0,0,0,0,0
1.265,0,0,0,0,0,0
1.27,0,0,0,0,0,0
1.275,0,0,0,0,0,0
1.28,0,0,0,0,0,0
1.285,0,0,0,0,0,0
1.29,0,0,0,0,0,0
1.295,0,0,0,0,0,0
1.3,0,0,0,0,0,0
1.305,0,0,0,0,0,0
1.31,0,0,0,0,0,0
1.315,0,0,0,0,0,0
1.32,0,0,0,0,0,0
1.325,0,0,0,0,0,0
1.33,0,0,0,0,0,0
1.335,0,0,0,0,0,0
1.34,0,0,0,0,0,0
1.345,0,0,0,0,0,0
1.35,0,0,0,0,0,0
1.355,0,0,0,0,0,0
1.36,0,0,0,0,0,0
1.365,0,0,0,0,0,0
1.37,0,0,0,0,0,0
1.375,0,0,0,0,0,0
1.38,0,0,0,0,0,0
1.385,0,0,0,0,0,0
1.39,0,0,0,0,0,0
1.395,0,0,0,0,0,0
1.4,0,0,0,0,0,0
1.405,0,0,0,0,0,0
1.41,0,0,0,0,0,0
1.415,0,0,0,0,0,0
1.42,0,0,0,0,0,0
1.425,0,0,0,0,0,0
1.43,0,0,0,0,0,0
1.435,0,0,0,0,0,0
1.44,0,0,0,0,0,0
1.445,0,0,0,0,0,0
1.45,0,0,0,0,0,0
1.455,0,0,0,0,0,0
1.46,0,0,0,0,0,0
1.465,0,0,0,0,0,0
1.47,0,0,0,0,0,0
1.475,0,0,0,0,0,0
1.48,0,0,0,0,0,0
1.485,0,0,0,0,0,0
1.49,0,0,0,0,0,0
1.495,0,0,0,0,0,0
1.5,0,0,0,0,0,0
1.505,0,0,0,0,0,0
1.51,0,0,0,0,0,0
1.515,0,0,0,0,0,0
1.52,0,0,0,0,0,0
1.525,0,0,0,0,0,0
1.53,0,0,0,0,0,0
1.535,0,0,0,0,0,0
1.54,0,0,0,0,0,0
1.545,0,0,0,0,0,0
1.55,0,0,0,0,0,0
1.555,0,0,0,0,0,0
1.56,0,0,0,0,0,0
1.565,0,0,0,0,0,0
1.57,0,0,0,0,0,0
1.575,0,0,0,0,0,0
1.58,0,0,0,0,0,0
1.585,0,0,0,0,0,0
1.59,0,0,0,0,0,0
1.595,0,0,0,0,0,0
1.6,0,0,0,0,0,0
1.605,0,0,0,0,0,0
1.61,0,0,0,0,0,0
1.615,0,0,0,0,0,0
1.62,0,0,0,0,0,0
1.625,0,0,0,0,0,0
1.63,0,0,0,0,0,0
1.635,0,0,0,0,0,0
1.64,0,0,0,0,0,0
1.645,0,0,0,0,0,0
1.65,0,0,0,0,0,0
1.655,0,0,0,0,0,0
1.66,0,0,0,0,0,0
1.665,0,0,0,0,0,0
1.67,0,0,0,0,0,0
1.675,0,0,0,0,0,0
1.68,0,0,0,0,0,0
1.685,0,0,0,0,0,0
1.69,0,0,0,0,0,0
1.695,0,0,0,0,0,0
1.7,0,0,0,0,0,0
1.705,0,0,0,0,0,0
1.71,0,0,0,0,0,0
1.715,0,0,0,0,0,0
1.72,0,0,0,0,0,0
1.725,0,0,0,0,0,0
1.73,0,0,0,0,0,0
1.735,0,0,0,0,0,0
1.74,0,0,0,0,0,0
1.745,0,0,0,0,0,0
1.75,0,0,0,0,0,0
1.755,0,0,0,0,0,0
1.76,0,0,0,0,0,0
1.765,0,0,0,0,0,0
1.77,0,0,0,0,0,0
1.775,0,0,0,0,0,0
1.78,0,0,0,0,0,0
1.785,0,0,0,0,0,0
1.79,0,0,0,0,0,0
1.795,0,0,0,0,0,0
1.8,0,0,0,0,0,0
1.805,0,0,0,0,0,0
1.81,0,0,0,0,0,0
1.815,0,0,0,0,0,0
1.82,0,0,0,0,0,0
1.825,0,0,0,0,0,0
1.83,0,0,0,0,0,0
1.835,0,0,0,0,0,0
1.84,0,0,0,0,0,0
1.845,0,0,0,0,0,0
1.85,0,0,0,0,0,0
1.855,0,0,0,0,0,0
1.86,0,0,0,0,0,0
1.865,0,0,0,0,0,0
1.87,0,0,0,0,0,0
1.875,0,0,0,0,0,0
1.88,0,0,0,0,0,0
1.885,0,0,0,0,0,0
1.89,0,0,0,0,0,0
1.895,0,0,0,0,0,0
1.9,0,0,0,0,0,0
1.905,0,0,0,0,0,0
1.91,0,0,0,0,0,0
1.915,0,0,0,0,0,0
1.92,0,0,0,0,0,0
1.925,0,0,0,0,0,0
1.93,0,0,0,0,0,0
1.935,0,0,0,0,0,0
1.94,0,0,0,0,0,0
1.945,0,0,0,0,0,0
1.95,0,0,0,0,0,0
1.955,0,0,0,0,0,0
1.96,0,0,0,0,0,0
1.965,0,0,0,0,0,0
1.97,0,0,0,0,0,0
1.975,0,0,0,0,0,0
1.98,0,0,0,0,0,0
1.985,0,0,0,0,0,0
1.99,0,0,0,0,0,0
1.995,0,0,0,0,0,0
2,0,0,0,0,0,0
2.005,0,0,0,0,0,0
2.01,0,0,0,0,0,0
2.015,0,0,0,0,0,0
2.02,0,0,0,0,0,0
2.025,0,0,0,0,0,0
2.03,0,0,0,0,0,0
2.035,0,0,0,0,0,0
2.04,0,0,0,0,0,0
2.045,0,0,0,0,0,0
2.05,0,0,0,0,0,0
2.055,0,0,0,0,0,0
2.06,0,0,0,0,0,0
2.065,0,0,0,0,0,0
2.07,0,0,0,0,0,0
2.075,0,0,0,0,0,0
2.08,0,0,0,0,0,0
2.085,0,0,0,0,0,0
2.09,0,0,0,0,0,0
2.095,0,0,0,0,0,0
2.1,0,0,0,0,0,0
2.105,0,0,0,0,0,0
2.11,0,0,0,0,0,0
2.115,0,0,0,0,0,0
2.12,0,0,0,0,0,0
2.125,0,0,0,0,0,0
2.13,0,0,0,0,0,0
2.135,0,0,0,0,0,0
2.14,0,0,0,0,0,0
2.145,0,0,0,0,0,0
2.15,0,0,0,0,0,0
2.155,0,0,0,0,0,0
2.16,0,0,0,0,0,0
2.165,0,0,0,0,0,0
2.17,0,0,0,0,0,0
2.175,0,0,0,0,0,0
2.18,0,0,0,0,0,0
2.185,0,0,0,0,0,0
2.19,0,0,0,0,0,0
2.195,0,0,0,0,0,0
2.2,0,0,0,0,0,0
2.205,0,0,0,0,0,0
2.21,0,0,0,0,0,0
2.215,0,0,0,0,0,0
2.22,0,0,0,0,0,0
2.225,0,0,0,0,0,0
2.23,0,0,0,0,0,0
2.235,0,0,0,0,0,0
2.24,0,0,0,0,0,0
2.245,0,0,0,0,0,0
2.25,0,-0.298777968,0,-0.298777968,0,0
2.255,0,-0.298777968,0,-0.298777968,0,0
2.26,0,-0.298777968,0,-0.298777968,0,0
2.265,0,-0.298777968,0,-0.298777968,0,0
2.27,0,-0.298912674,0,-0.298912674,0,0
2.275,0,-0.298784673,0,-0.298784673,0,0
2.28,0,-0.298882782,0,-0.298882782,0,0
2.285,0,-0.298882782,0,-0.298980892,0,0
2.29,0,-0.298985422,0,-0.298985422,0,0
2.295,0,-0.298687667,0,-0.298687667,0,0
2.3,0,-0.298687667,0,-0.298389912,0,0
2.305,0,-0.298687667,0,-0.298092157,0,0
2.31,0,-0.298842996,0,-0.298842996,0,0
2.315,0,-0.298854828,0,-0.298854828,0,0
2.32,0,-0.298854828,0,-0.298866659,0,0
2.325,0,-0.298854828,0,-0.298878491,0,0
2.33,0,-0.298854828,0,-0.298890322,0,0
2.335,0,-0.298854828,0,-0.298902154,0,0
2.34,0,-0.2988756,0,-0.2988756,0,0
2.345,0,-0.298773557,0,-0.298773557,0,0
2.35,0,-0.298562974,0,-0.298562974,0,0
2.355,0,-0.299139708,0,-0.299139708,0,0
2.36,0,-0.299522191,0,-0.299522191,0,0
2.365,0,-0.299522191,0,-0.299904674,0,0
2.37,0,-0.299522191,0,-0.300287157,0,0
2.375,0,-0.299522191,0,-0.30066964,0,0
2.38,0,-0.299775779,0,-0.299775779,0,0
2.385,0,-0.299775779,0,-0.299839169,0,0
2.39,0,-0.299775779,0,-0.299902558,0,0
2.395,0,-0.299775779,0,-0.299965978,0,0
2.4,0,-0.30002299,0,-0.30002299,0,0
2.405,0,-0.299854875,0,-0.299854875,0,0
2.41,0,-0.299935699,0,-0.299935699,0,0
2.415,0,-0.299935699,0,-0.300016522,0,0
2.42,0,-0.299528122,0,-0.299528122,0,0
2.425,0,-0.299579561,0,-0.299579561,0,0
2.43,0,-0.299579561,0,-0.299631,0,0
2.435,0,-0.299579561,0,-0.299682438,0,0
2.44,0,-0.299581438,0,-0.299581438,0,0
2.445,0,-0.299246877,0,-0.299246877,0,0
2.45,0,-0.299246877,0,-0.298912317,0,0
2.455,0,-0.299246877,0,-0.298577756,0,0
2.46,0,-0.299127549,0,-0.299127549,0,0
2.465,0,-0.300547749,0,-0.300547749,0,0
2.47,0,-0.300547749,0,-0.301967949,0,0
2.475,0,-0.300547749,0,-0.303388149,0,0
2.48,0,-0.299453944,0,-0.299453944,0,0
2.485,0,-0.298633605,0,-0.298633605,0,0
2.49,0,-0.298633605,0,-0.297813267,0,0
2.495,0,-0.298633605,0,-0.296992928,0,0
2.5,0,-0.298759192,0,-0.298759192,0,0
2.505,0,-0.298497975,0,-0.298497975,0,0
2.51,0,-0.298497975,0,-0.298236758,0,0
2.515,0,-0.298497975,0,-0.29797554,0,0
2.52,0,-0.29875055,0,-0.29875055,0,0
2.525,0,-0.298879623,0,-0.298879623,0,0
2.53,0,-0.298879623,0,-0.299008697,0,0
2.535,0,-0.298879623,0,-0.299137771,0,0
2.54,0,-0.299160957,0,-0.299160957,0,0
2.545,0,-0.301402211,0,-0.301402211,0,0
2.55,0,-0.300019652,0,-0.300019652,0,0
2.555,0,-0.300019652,0,-0.298637092,0,0
2.56,0,-0.299124956,0,-0.299124956,0,0
2.565,0,-0.299124956,0,-0.298677623,0,0
2.57,0,-0.299124956,0,-0.298230261,0,0
2.575,0,-0.299124956,0,-0.297782928,0,0
2.58,0,-0.299695432,0,-0.299695432,0,0
2.585,0,-0.299300045,0,-0.299300045,0,0
2.59,0,-0.299300045,0,-0.298904657,0,0
2.595,0,-0.299300045,0,-0.29850927,0,0
2.6,0,-0.298832297,0,-0.298832297,0,0
2.605,0,-0.299310297,0,-0.299310297,0,0
2.61,0,-0.299449027,0,-0.299449027,0,0
2.615,0,-0.299449027,0,-0.299587756,0,0
2.62,0,-0.299026489,0,-0.299026489,0,0
2.625,0,-0.298097432,0,-0.298097432,0,0
2.63,0,-0.298097432,0,-0.297168374,0,0
2.635,0,-0.298097432,0,-0.296239316,0,0
2.64,0,-0.296924144,0,-0.296924144,0,0
2.645,0,-0.298674762,0,-0.298674762,0,0
2.65,0,-0.298674762,0,-0.30042538,0,0
2.655,0,-0.298674762,0,-0.302175999,0,0
2.66,0,-0.298875004,0,-0.298875004,0,0
2.665,0,-0.298677504,0,-0.298677504,0,0
2.67,0,-0.298677504,0,-0.298480004,0,0
2.675,0,-0.298677504,0,-0.298282504,0,0
2.68,0,-0.299159974,0,-0.299159974,0,0
2.685,0,-0.299190611,0,-0.299190611,0,0
2.69,0,-0.299190611,0,-0.299221247,0,0
2.695,0,-0.299190611,0,-0.299251884,0,0
2.7,0,-0.298714697,0,-0.298714697,0,0
2.705,0,-0.298138976,0,-0.298138976,0,0
2.71,0,-0.298138976,0,-0.297563255,0,0
2.715,0,-0.298138976,0,-0.296987534,0,0
2.72,0,-0.298138976,0,-0.296411812,0,0
2.725,0,-0.298138976,0,-0.295836091,0,0
2.73,0,-0.298278481,0,-0.298278481,0,0
2.735,0,-0.298042536,0,-0.298042536,0,0
2.74,0,-0.298042536,0,-0.297806591,0,0
2.745,0,-0.298042536,0,-0.297570646,0,0
2.75,0,-0.299042374,0,-0.299042374,0,0
2.755,0,-0.298695803,0,-0.298695803,0,0
2.76,0,-0.298695803,0,-0.298349231,0,0
2.765,0,-0.298695803,0,-0.29800266,0,0
2.77,0,-0.298425943,0,-0.298425943,0,0
2.775,0,-0.298088163,0,-0.298088163,0,0
2.78,0,-0.298088163,0,-0.297750384,0,0
2.785,0,-0.298088163,0,-0.297412604,0,0
2.79,0,-0.299108088,0,-0.299108088,0,0
2.795,0,-0.300201476,0,-0.300201476,0,0
2.8,0,-0.300201476,0,-0.301294863,0,0
2.805,0,-0.300201476,0,-0.302388251,0,0
2.81,0,-0.298434108,0,-0.298434108,0,0
2.815,0,-0.298744172,0,-0.298744172,0,0
2.82,0,-0.298744172,0,-0.299054235,0,0
2.825,0,-0.298744172,0,-0.299364299,0,0
2.83,0,-0.299467683,0,-0.299467683,0,0
2.835,0,-0.30155772,0,-0.30155772,0,0
2.84,0,-0.30155772,0,-0.303647757,0,0
2.845,0,-0.30155772,0,-0.305737793,0,0
2.85,0,-0.301694125,0,-0.301694125,0,0
2.855,0,-0.302046597,0,-0.302046597,0,0
2.86,0,-0.302046597,0,-0.302399069,0,0
2.865,0,-0.302046597,0,-0.302751541,0,0
2.87,0,-0.299771786,0,-0.299771786,0,0
2.875,0,-0.300994962,0,-0.300994962,0,0
2.88,0,-0.300994962,0,-0.302218139,0,0
2.885,0,-0.300994962,0,-0.303441316,0,0
2.89,0,-0.299451232,0,-0.299451232,0,0
2.895,0,-0.299715072,0,-0.299715072,0,0
2.9,0,-0.299715072,0,-0.299978912,0,0
2.905,0,-0.299715072,0,-0.300242752,0,0
2.91,0,-0.300506145,0,-0.300506145,0,0
2.915,0,-0.300686747,0,-0.300686747,0,0
2.92,0,-0.300686747,0,-0.300867349,0,0
2.925,0,-0.300686747,0,-0.301047951,0,0
2.93,0,-0.303203404,0,-0.303203404,0,0
2.935,0,-0.301245093,0,-0.301245093,0,0
2.94,0,-0.302021027,0,-0.302021027,0,0
2.945,0,-0.302021027,0,-0.30279696,0,0
2.95,0,-0.301914275,0,-0.301914275,0,0
2.955,0,-0.302079529,0,-0.302079529,0,0
2.96,0,-0.302079529,0,-0.302244782,0,0
2.965,0,-0.302079529,0,-0.302410036,0,0
2.97,0,-0.30089277,0,-0.30089277,0,0
2.975,0,-0.298208773,0,-0.298208773,0,0
2.98,0,-0.298208773,0,-0.295524776,0,0
2.985,0,-0.298208773,0,-0.292840779,0,0
2.99,0,-0.297344714,0,-0.297344714,0,0
2.995,0,-0.297903508,0,-0.297903508,0,0
3,0,-0.297903508,0,-0.298462301,0,0
3.005,0,-0.297903508,0,-0.299021095,0,0
3.01,0,-0.297016472,0,-0.297016472,0,0
3.015,0,-0.297946095,0,-0.297946095,0,0
3.02,0,-0.297946095,0,-0.298875719,0,0
3.025,0,-0.297946095,0,-0.299805343,0,0
3.03,0,-0.298612803,0,-0.298612803,0,0
3.035,0,-0.298792601,0,-0.298792601,0,0
3.04,0,-0.298792601,0,-0.298972398,0,0
3.045,0,-0.298792601,0,-0.299152195,0,0
3.05,0,-0.299542367,0,-0.299542367,0,0
3.055,0,-0.299937725,0,-0.299937725,0,0
3.06,0,-0.299937725,0,-0.300333083,0,0
3.065,0,-0.299937725,0,-0.30072844,0,0
3.07,0,-0.300377071,0,-0.300377071,0,0
3.075,0,-0.298827142,0,-0.298827142,0,0
3.08,0,-0.298827142,0,-0.297277212,0,0
3.085,0,-0.298827142,0,-0.295727283,0,0
3.09,0,-0.299846709,0,-0.299846709,0,0
3.095,0,-0.300232112,0,-0.300232112,0,0
3.1,0,-0.300232112,0,-0.300617516,0,0
3.105,0,-0.300232112,0,-0.30100292,0,0
3.11,0,-0.300232112,0,-0.301388323,0,0
3.115,0,-0.300232112,0,-0.301773727,0,0
3.12,0,-0.297642142,0,-0.297642142,0,0
3.125,0,-0.297144264,0,-0.297144264,0,0
3.13,0,-0.297874749,0,-0.297874749,0,0
3.135,0,-0.298954159,0,-0.298954159,0,0
3.14,0,-0.298954159,0,-0.300033569,0,0
3.145,0,-0.298954159,0,-0.30111298,0,0
3.15,0,-0.298954159,0,-0.30219239,0,0
3.155,0,-0.298954159,0,-0.3032718,0,0
3.16,0,-0.299237877,0,-0.299237877,0,0
3.165,0,-0.299250573,0,-0.299250573,0,0
3.17,0,-0.299250573,0,-0.299263269,0,0
3.175,0,-0.299250573,0,-0.299275964,0,0
3.18,0,-0.300042033,0,-0.300042033,0,0
3.185,0,-0.300321043,0,-0.300321043,0,0
3.19,0,-0.301303893,0,-0.301303893,0,0
3.195,0,-0.301303893,0,-0.302286744,0,0
3.2,0,-0.302029431,0,-0.302029431,0,0
3.205,0,-0.302025825,0,-0.302025825,0,0
3.21,0,-0.302025825,0,-0.302022219,0,0
3.215,0,-0.302025825,0,-0.302018613,0,0
3.22,0,-0.302142292,0,-0.302142292,0,0
3.225,0,-0.301692784,0,-0.301692784,0,0
3.23,0,-0.301692784,0,-0.301243275,0,0
3.235,0,-0.301692784,0,-0.300793767,0,0
3.24,0,-0.300631672,0,-0.300631672,0,0
3.245,0,-0.30168286,0,-0.30168286,0,0
3.25,0,-0.30168286,0,-0.302734047,0,0
3.255,0,-0.30168286,0,-0.303785235,0,0
3.26,0,-0.300556511,0,-0.300556511,0,0
3.265,0,-0.300812691,0,-0.300812691,0,0
3.27,0,-0.300812691,0,-0.301068872,0,0
3.275,0,-0.300812691,0,-0.301325053,0,0
3.28,0,-0.297940731,0,-0.297940731,0,0
3.285,0,-0.297665149,0,-0.297665149,0,0
3.29,0,-0.297665149,0,-0.297389567,0,0
3.295,0,-0.297665149,0,-0.297113985,0,0
3.3,0,-0.294751614,0,-0.294751614,0,0
3.305,0,-0.297361284,0,-0.297361284,0,0
3.31,0,-0.297361284,0,-0.299970955,0,0
3.315,0,-0.297361284,0,-0.302580625,0,0
3.32,0,-0.296947151,0,-0.296947151,0,0
3.325,0,-0.296768159,0,-0.296768159,0,0
3.33,0,-0.296842098,0,-0.296842098,0,0
3.335,0,-0.296842098,0,-0.296916038,0,0
3.34,0,-0.297278166,0,-0.297278166,0,0
3.345,0,-0.297278166,0,-0.2974962,0,0
3.35,0,-0.297278166,0,-0.297714233,0,0
3.355,0,-0.297278166,0,-0.297932267,0,0
3.36,0,-0.29534784,0,-0.29534784,0,0
3.365,0,-0.2935718,0,-0.2935718,0,0
3.37,0,-0.2935718,0,-0.29179576,0,0
3.375,0,-0.2935718,0,-0.290019721,0,0
3.38,0,-0.292641342,0,-0.292641342,0,0
3.385,0,-0.292964637,0,-0.292964637,0,0
3.39,0,-0.292964637,0,-0.293287933,0,0
3.395,0,-0.292964637,0,-0.293611228,0,0
3.4,0,-0.294336498,0,-0.294336498,0,0
3.405,0,-0.294336498,0,-0.294793785,0,0
3.41,0,-0.294336498,0,-0.295251071,0,0
3.415,0,-0.294336498,0,-0.295708358,0,0
3.42,0,-0.291648775,0,-0.291648775,0,0
3.425,0,-0.291648775,0,-0.290976852,0,0
3.43,0,-0.291648775,0,-0.290304929,0,0
3.435,0,-0.291648775,0,-0.289632976,0,0
3.44,0,-0.291648775,0,-0.288961053,0,0
3.445,0,-0.291648775,0,-0.28828913,0,0
3.45,0,-0.291648775,0,-0.287617207,0,0
3.455,0,-0.291648775,0,-0.286945254,0,0
3.46,0,-0.291648775,0,-0.28627333,0,0
3.465,0,-0.291648775,0,-0.285601407,0,0
3.47,0,-0.291648775,0,-0.284929454,0,0
3.475,0,-0.291648775,0,-0.284257531,0,0
3.48,0,-0.291648775,0,-0.283585608,0,0
3.485,0,-0.291648775,0,-0.282913685,0,0
3.49,0,-0.291648775,0,-0.282241732,0,0
3.495,0,-0.291648775,0,-0.281569809,0,0
3.5,0,-0.291648775,0,-0.280897886,0,0
3.505,0,-0.291648775,0,-0.280225962,0,0
3.51,0,-0.291648775,0,-0.279554009,0,0
3.515,0,-0.291648775,0,-0.278882086,0,0
3.52,0,-0.291648775,0,-0.278210163,0,0
3.525,0,-0.291648775,0,-0.27753824,0,0
